Week,Home,Away,Predicted Goals (Home),Predicted Goals (Away),goal_diff,Home Clean Sheet %,Away Clean Sheet %
37.0,Tottenham,Burnley,2.56,0.72,1.84,49.0,8.0
37.0,Everton,Sheffield Utd,2.95,0.6,2.36,55.00000000000001,5.0
37.0,Fulham,Manchester City,0.6,2.78,2.17,6.0,55.00000000000001
37.0,Newcastle Utd,Brighton,2.05,1.1,0.95,33.0,13.0
37.0,Aston Villa,Liverpool,1.75,1.73,0.02,18.0,17.0
37.0,Manchester Utd,Arsenal,0.81,1.98,1.18,14.000000000000002,44.0
37.0,Bournemouth,Brentford,1.02,2.48,1.45,8.0,36.0
38.0,Luton Town,Fulham,1.56,1.34,0.22,26.0,21.0
38.0,Sheffield Utd,Tottenham,0.85,2.5,1.64,8.0,43.0
38.0,Manchester City,West Ham,3.16,0.67,2.48,51.0,4.0
38.0,Arsenal,Everton,1.98,0.71,1.27,49.0,14.000000000000002
38.0,Brighton,Manchester Utd,2.08,1.17,0.92,31.0,12.0
38.0,Brentford,Newcastle Utd,1.44,1.68,0.24,19.0,24.0
38.0,Chelsea,Bournemouth,3.6,0.7,2.9,50.0,3.0
38.0,Crystal Palace,Aston Villa,1.11,1.92,0.8,15.0,33.0
38.0,Liverpool,Wolves,2.89,0.9,1.98,41.0,6.0
38.0,Burnley,Nott'ham Forest,0.95,1.35,0.4,26.0,39.0
