,index,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG,npxG per 90,npxG+xAG per 90,season_years
24,337,338,Amadou Onana,BEL,MF,Everton,22.0,2001.0,11.0,11.0,920.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,2.3,3.4,9.0,51.0,25.0,0.0,0.0,0.0,0.0,0.0,0.11,0.22,0.33,0.11,0.33,2023-2024
25,42,43,Amari'i Bell,JAM,DF,Luton Town,29.0,1994.0,10.0,10.0,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,11.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,2023-2024
26,104,105,Ameen Al-Dakhil,BEL,DF,Burnley,21.0,2002.0,10.0,10.0,855.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,6.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,2023-2024
27,491,492,Anass Zaroury,MAR,MF,Burnley,23.0,2000.0,5.0,1.0,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.0,0.2,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.13,0.11,0.13,2023-2024
28,64,65,Andre Brooks,ENG,MF,Sheffield Utd,20.0,2003.0,3.0,1.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
29,359,360,Andreas Pereira,BRA,MF,Fulham,27.0,1996.0,15.0,13.0,1007.0,11.2,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.7,3.8,17.0,40.0,49.0,0.09,0.27,0.36,0.09,0.36,0.09,0.24,0.34,0.09,0.34,2023-2024
30,386,387,Andrew Robertson,SCO,DF,Liverpool,29.0,1994.0,8.0,8.0,720.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1.5,19.0,49.0,30.0,0.12,0.0,0.12,0.12,0.12,0.06,0.13,0.19,0.06,0.19,2023-2024
31,404,405,Andrey Santos,BRA,MF,Nott'ham Forest,19.0,2004.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.64,2023-2024
32,444,445,Andros Townsend,ENG,MF,Luton Town,32.0,1991.0,7.0,4.0,325.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,7.0,8.0,15.0,0.0,0.28,0.28,0.0,0.28,0.04,0.05,0.09,0.04,0.09,2023-2024
33,338,339,Andre Onana,CMR,GK,Manchester Utd,27.0,1996.0,15.0,15.0,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
34,7,8,Anel Ahmedhodzic,BIH,DF,Sheffield Utd,24.0,1999.0,11.0,10.0,945.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.0,0.9,3.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,2023-2024
35,333,334,Angelo Ogbonna,ITA,DF,West Ham,35.0,1988.0,3.0,1.0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
36,44,45,Anis Ben Slimane,TUN,MF,Sheffield Utd,22.0,2001.0,5.0,1.0,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,2023-2024
37,152,153,Ansu Fati,ESP,MF,Brighton,21.0,2002.0,9.0,2.0,290.0,3.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.7,2.7,0.5,3.1,9.0,21.0,23.0,0.62,0.0,0.62,0.62,0.62,0.82,0.15,0.97,0.82,0.97,2023-2024
38,143,144,Anthony Elanga,SWE,MF,Nott'ham Forest,21.0,2002.0,15.0,9.0,925.0,10.3,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,1.5,1.5,2.3,3.8,47.0,18.0,84.0,0.29,0.29,0.58,0.29,0.58,0.15,0.22,0.37,0.15,0.37,2023-2024
39,178,179,Anthony Gordon,ENG,MF,Newcastle Utd,22.0,2001.0,13.0,12.0,1059.0,11.8,6.0,3.0,9.0,6.0,0.0,0.0,6.0,0.0,4.2,4.2,2.0,6.2,44.0,35.0,86.0,0.51,0.25,0.76,0.51,0.76,0.36,0.17,0.53,0.36,0.53,2023-2024
40,273,274,Anthony Martial,FRA,FW,Manchester Utd,28.0,1995.0,12.0,4.0,393.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,0.2,1.4,6.0,9.0,26.0,0.23,0.0,0.23,0.23,0.23,0.27,0.04,0.31,0.27,0.31,2023-2024
41,411,412,Antoine Semenyo,GHA,FW,Bournemouth,23.0,2000.0,12.0,8.0,620.0,6.9,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.5,1.5,1.4,2.8,24.0,14.0,43.0,0.44,0.15,0.58,0.44,0.58,0.22,0.2,0.41,0.22,0.41,2023-2024
42,387,388,Antonee Robinson,USA,DF,Fulham,26.0,1997.0,14.0,14.0,1244.0,13.8,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,2.3,2.4,41.0,52.0,56.0,0.0,0.22,0.22,0.0,0.22,0.01,0.16,0.18,0.01,0.18,2023-2024
43,24,25,Antony,BRA,MF,Manchester Utd,23.0,2000.0,11.0,7.0,609.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,1.5,2.8,22.0,33.0,79.0,0.0,0.0,0.0,0.0,0.0,0.19,0.22,0.41,0.19,0.41,2023-2024
44,187,188,Antwoine Hackford,ENG,FW,Sheffield Utd,19.0,2004.0,2.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
