,second_name,first_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,transfers_out,value_season,bonus,bps,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,points_per_game,value_form,value_season,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,id_x,id_y,plural_name,singular_name,pos_short,id,name,full_name
90,Pearson,Ben,3,3,0.0,45,0,0,108,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,79,3,Midfielders,Midfielder,MF,3,Bournemouth,Ben Pearson
91,Randolph,Darren,3,1,0.4,40,0,8322,25880,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,80,1,Goalkeepers,Goalkeeper,GK,3,Bournemouth,Darren Randolph
92,Rothwell,Joe,3,3,0.0,48,380,812,1733,2.7,0,54,13,0.06,0.22,0.28,11.24,0.01,0.05,0.06,2.66,1.2,0.1,2.7,0,0,0,12,0,0,0,0,0,0,81,3,Midfielders,Midfielder,MF,3,Bournemouth,Joe Rothwell
93,Semenyo,Antoine,3,4,3.4,46,814,694891,470413,10.0,4,152,46,1.82,0.75,2.57,12.35,0.2,0.08,0.28,1.37,3.1,0.6,10.0,3,3,4,13,0,0,0,3,0,0,82,4,Forwards,Forward,FW,3,Bournemouth,Antoine Semenyo
94,Senesi,Marcos,3,2,5.4,45,1115,598870,64412,12.4,7,250,56,0.72,0.85,1.57,20.57,0.06,0.07,0.13,1.66,3.5,1.8,12.4,2,2,4,22,0,0,0,4,0,0,83,2,Defenders,Defender,DF,3,Bournemouth,Marcos Senesi
95,Smith,Adam,3,2,0.1,44,659,13907,6728,7.3,0,149,32,0.00,0.81,0.81,8.45,0.0,0.11,0.11,1.15,3.2,1.0,7.3,0,2,3,9,0,0,0,0,0,0,84,2,Defenders,Defender,DF,3,Bournemouth,Adam Smith
96,Solanke,Dominic,3,4,26.8,70,1605,3094260,626474,13.7,10,317,96,9.93,0.94,10.87,27.97,0.56,0.05,0.61,1.57,5.3,1.1,13.7,12,1,5,30,0,0,0,1,0,0,85,4,Forwards,Forward,FW,3,Bournemouth,Dominic Solanke
97,Tavernier,Marcus,3,3,1.1,54,1080,175887,72078,10.0,4,191,54,2.54,1.95,4.49,16.28,0.21,0.16,0.37,1.36,3.6,0.6,10.0,2,3,5,19,0,0,0,1,0,0,86,3,Midfielders,Midfielder,MF,3,Bournemouth,Marcus Tavernier
98,Traore,Hamed,3,3,0.0,47,44,601,2039,0.6,0,10,3,0.17,0.01,0.18,0.84,0.35,0.02,0.37,1.72,1.0,0.0,0.6,0,0,0,1,0,0,0,0,0,0,87,3,Midfielders,Midfielder,MF,3,Bournemouth,Hamed Junior Traore
99,Travers,Mark,3,1,0.1,40,0,320,8970,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,88,1,Goalkeepers,Goalkeeper,GK,3,Bournemouth,Mark Travers
100,Zabarnyi,Illia,3,2,0.2,44,1620,31266,23473,9.3,1,293,41,0.43,0.31,0.74,29.11,0.02,0.02,0.04,1.62,2.3,0.9,9.3,0,0,5,32,0,0,0,3,0,0,89,2,Defenders,Defender,DF,3,Bournemouth,Illia Zabarnyi
101,Kerkez,Milos,3,2,0.2,44,1160,36037,37300,7.0,1,159,31,0.18,0.52,0.70,25.06,0.01,0.04,0.05,1.94,2.1,0.8,7.0,0,1,3,26,1,0,0,2,0,0,595,2,Defenders,Defender,DF,3,Bournemouth,Milos Kerkez
102,Radu,Ionut,3,1,0.1,44,180,4953,8759,0.5,0,31,2,0.00,0.00,0.00,2.76,0.0,0.0,0.0,1.38,1.0,0.0,0.5,0,0,0,7,0,0,0,0,0,5,607,1,Goalkeepers,Goalkeeper,GK,3,Bournemouth,Ionut Radu
103,Greenwood,Ben,3,2,0.2,40,0,13823,14657,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,619,2,Defenders,Defender,DF,3,Bournemouth,Ben Greenwood
104,Aarons,Max,3,2,0.1,44,949,28492,29836,5.2,0,161,23,0.02,0.75,0.77,21.05,0.0,0.07,0.07,2.0,1.9,0.0,5.2,0,1,2,24,0,0,0,1,0,0,643,2,Defenders,Defender,DF,3,Bournemouth,Max Aarons
105,Scott,Alex,3,3,0.0,49,320,1908,1903,2.4,3,56,12,0.07,0.39,0.46,2.87,0.02,0.11,0.13,0.81,2.4,0.4,2.4,0,1,1,6,0,0,0,2,0,0,644,3,Midfielders,Midfielder,MF,3,Bournemouth,Alex Scott
106,Adams,Tyler,3,3,0.0,49,0,622,603,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,673,3,Midfielders,Midfielder,MF,3,Bournemouth,Tyler Adams
107,Sinisterra,Luis,3,3,0.0,55,298,5765,3900,4.7,0,87,26,1.48,0.51,1.99,5.46,0.45,0.15,0.6,1.65,2.4,0.5,4.7,2,1,1,7,0,0,0,0,0,0,705,3,Midfielders,Midfielder,MF,3,Bournemouth,Luis Sinisterra
108,Ajer,Kristoffer,4,2,0.2,44,723,42365,52976,5.0,1,117,22,0.74,1.85,2.59,11.83,0.09,0.23,0.32,1.47,2.0,0.0,5.0,0,1,2,13,0,0,0,4,0,0,90,2,Defenders,Defender,DF,4,Brentford,Kristoffer Ajer
109,Balcombe,Ellery,4,1,0.2,39,0,9119,14340,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,91,1,Goalkeepers,Goalkeeper,GK,4,Brentford,Ellery Balcombe
110,Baptiste,Shandon,4,3,1.2,43,188,107371,288770,2.8,0,57,12,0.70,0.27,0.97,2.89,0.34,0.13,0.47,1.38,2.4,0.5,2.8,1,0,0,5,0,0,0,0,0,0,92,3,Midfielders,Midfielder,MF,4,Brentford,Shandon Baptiste
111,Bech Sorensen,Mads,4,2,0.1,40,0,2309,15159,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,93,2,Defenders,Defender,DF,4,Brentford,Mads Bech Sorensen
112,Bidstrup,Mads,4,3,0.0,45,0,0,133,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,94,3,Midfielders,Midfielder,MF,4,Brentford,Mads Bidstrup
113,Canos Tenes,Sergi,4,3,0.0,50,0,292,3798,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,95,3,Midfielders,Midfielder,MF,4,Brentford,Sergi Canos Tenes
114,Collins,Nathan,4,2,0.4,45,1103,105203,99143,8.9,3,223,40,1.09,0.57,1.66,17.13,0.09,0.05,0.14,1.4,2.9,0.0,8.9,1,1,3,21,0,0,0,2,0,0,96,2,Defenders,Defender,DF,4,Brentford,Nathan Collins
115,Cox,Matthew,4,1,0.0,40,0,0,510,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,97,1,Goalkeepers,Goalkeeper,GK,4,Brentford,Matthew Cox
116,Damsgaard,Mikkel,4,3,0.0,48,210,1695,10145,1.7,0,24,8,0.43,0.22,0.65,2.30,0.18,0.09,0.27,0.99,1.3,0.3,1.7,0,0,1,1,0,0,0,0,0,0,98,3,Midfielders,Midfielder,MF,4,Brentford,Mikkel Damsgaard
117,Dasilva,Josh,4,3,0.0,47,9,868,10517,0.2,0,3,1,0.00,0.00,0.00,0.07,0.0,0.0,0.0,0.7,1.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,99,3,Midfielders,Midfielder,MF,4,Brentford,Josh Dasilva
118,Dervisoglu,Halil,4,4,0.0,45,0,0,798,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,100,4,Forwards,Forward,FW,4,Brentford,Halil Dervisoglu
119,Flekken,Mark,4,1,2.8,45,1485,457957,369404,10.2,1,284,46,0.00,0.06,0.06,22.50,0.0,0.0,0.0,1.36,2.7,0.4,10.2,0,0,3,26,0,0,0,1,0,43,101,1,Goalkeepers,Goalkeeper,GK,4,Brentford,Mark Flekken
120,Goode,Charlie,4,2,0.2,39,0,20209,15969,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,102,2,Defenders,Defender,DF,4,Brentford,Charlie Goode
121,Henry,Rico,4,2,0.9,43,401,559970,723229,3.0,0,74,13,0.07,0.90,0.97,5.12,0.02,0.2,0.22,1.15,2.6,0.0,3.0,0,1,1,5,0,0,0,1,0,0,103,2,Defenders,Defender,DF,4,Brentford,Rico Henry
122,Hickey,Aaron,4,2,0.2,44,713,23256,41340,3.9,0,87,17,0.20,0.13,0.33,10.20,0.03,0.02,0.05,1.29,1.9,0.0,3.9,0,0,2,12,0,0,0,5,0,0,104,2,Defenders,Defender,DF,4,Brentford,Aaron Hickey
123,Janelt,Vitaly,4,3,0.1,53,1466,9982,12133,8.1,1,210,43,1.12,1.75,2.87,19.82,0.07,0.11,0.18,1.22,2.4,0.5,8.1,0,2,4,21,0,0,0,3,0,0,105,3,Midfielders,Midfielder,MF,4,Brentford,Vitaly Janelt
124,Jensen,Mathias,4,3,0.9,54,928,444170,454627,10.9,8,221,59,0.51,2.21,2.72,13.81,0.05,0.21,0.26,1.34,4.5,0.0,10.9,3,3,5,14,0,0,0,2,0,0,106,3,Midfielders,Midfielder,MF,4,Brentford,Mathias Jensen
125,Lewis-Potter,Keane,4,3,0.0,47,493,4951,4332,5.7,1,70,27,2.08,0.78,2.85,7.69,0.38,0.14,0.52,1.4,2.2,0.8,5.7,1,1,1,11,0,0,0,0,0,0,107,3,Midfielders,Midfielder,MF,4,Brentford,Keane Lewis-Potter
126,Mbeumo,Bryan,4,3,7.7,68,1286,4623058,4912423,12.8,9,250,87,8.42,3.88,12.30,18.67,0.59,0.27,0.86,1.31,5.8,0.3,12.8,7,4,3,20,0,0,0,1,0,0,108,3,Midfielders,Midfielder,MF,4,Brentford,Bryan Mbeumo
127,Mee,Ben,4,2,1.5,48,672,178959,617307,4.6,3,116,22,0.46,0.53,0.99,11.16,0.06,0.07,0.13,1.49,2.4,0.6,4.6,1,1,0,13,0,0,0,0,1,0,109,2,Defenders,Defender,DF,4,Brentford,Ben Mee
128,Norgaard,Christian,4,3,0.1,54,1480,20071,24694,7.4,2,239,40,2.13,1.83,3.96,22.32,0.13,0.11,0.24,1.36,2.4,0.2,7.4,1,1,3,26,0,0,0,7,0,0,110,3,Midfielders,Midfielder,MF,4,Brentford,Christian Norgaard
129,Onyeka,Frank,4,3,0.0,49,705,2655,2804,3.9,0,82,19,1.36,1.27,2.63,11.71,0.17,0.16,0.33,1.49,1.3,0.2,3.9,0,1,1,17,0,0,0,5,0,0,111,3,Midfielders,Midfielder,MF,4,Brentford,Frank Onyeka
130,Pinnock,Ethan,4,2,3.9,46,1620,551986,364870,10.7,5,324,49,1.51,0.71,2.22,24.18,0.08,0.04,0.12,1.34,2.7,0.3,10.7,1,0,3,28,0,0,0,0,0,0,112,2,Defenders,Defender,DF,4,Brentford,Ethan Pinnock
131,Roerslev Rasmussen,Mads,4,2,0.1,44,666,7347,8406,4.5,0,114,20,0.06,0.35,0.41,12.27,0.01,0.05,0.06,1.66,1.4,0.2,4.5,0,0,1,13,0,0,0,0,0,0,114,2,Defenders,Defender,DF,4,Brentford,Mads Roerslev
132,Schade,Kevin,4,3,0.1,53,255,18602,25949,3.6,2,40,19,0.80,0.35,1.15,2.36,0.28,0.12,0.4,0.83,3.8,0.0,3.6,1,1,1,2,0,0,0,0,0,0,115,3,Midfielders,Midfielder,MF,4,Brentford,Kevin Schade
133,Strakosha,Thomas,4,1,2.1,39,135,272168,116245,1.0,0,24,4,0.00,0.01,0.01,1.68,0.0,0.01,0.01,1.12,2.0,0.0,1.0,0,0,0,2,0,0,0,0,0,6,116,1,Goalkeepers,Goalkeeper,GK,4,Brentford,Thomas Strakosha
134,Toney,Ivan,4,4,0.1,79,0,6309,12689,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,117,4,Forwards,Forward,FW,4,Brentford,Ivan Toney
135,Trevitt,Ryan,4,3,0.0,45,0,236,1881,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,118,3,Midfielders,Midfielder,MF,4,Brentford,Ryan Trevitt
136,Wissa,Yoane,4,4,6.5,58,1453,2008865,2017478,10.9,8,199,63,5.80,1.08,6.88,20.26,0.36,0.07,0.43,1.25,3.5,0.4,10.9,4,2,6,21,0,0,0,2,0,0,119,4,Forwards,Forward,FW,4,Brentford,Yoane Wissa
137,Yarmoliuk,Yegor,4,3,0.6,43,335,50045,75756,3.0,0,43,13,0.70,0.07,0.77,5.50,0.19,0.02,0.21,1.48,1.3,0.3,3.0,0,0,2,5,0,0,0,1,0,0,120,3,Midfielders,Midfielder,MF,4,Brentford,Yehor Yarmoliuk
138,Jorgensen,Mathias,4,2,0.1,43,97,2153,5978,0.7,0,20,3,0.00,0.13,0.13,1.54,0.0,0.12,0.12,1.43,1.0,0.0,0.7,0,0,0,2,0,0,0,0,0,0,121,2,Defenders,Defender,DF,4,Brentford,Mathias Jorgensen
139,Maupay,Neal,4,4,1.1,49,772,179946,188353,8.2,4,121,40,4.92,1.42,6.34,12.55,0.57,0.17,0.74,1.46,2.7,0.7,8.2,2,3,2,18,0,0,0,3,0,0,258,4,Forwards,Forward,FW,4,Brentford,Neal Maupay
140,Olakigbe,Michael,4,3,0.0,45,41,3233,3147,1.6,0,10,7,0.14,0.02,0.16,0.60,0.31,0.04,0.35,1.32,1.0,0.1,1.6,0,0,0,0,0,0,0,0,0,0,620,3,Midfielders,Midfielder,MF,4,Brentford,Michael Olakigbe
141,Brierley,Ethan,4,3,0.0,45,0,1688,1273,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,684,3,Midfielders,Midfielder,MF,4,Brentford,Ethan Brierley
142,Ghoddos,Saman,4,3,0.1,45,601,12986,7876,4.4,0,96,20,0.24,0.86,1.10,9.69,0.04,0.13,0.17,1.45,1.5,0.4,4.4,1,0,0,14,0,0,0,4,0,0,701,3,Midfielders,Midfielder,MF,4,Brentford,Saman Ghoddos
143,Kim,Ji-Soo,4,2,0.0,40,0,3036,1777,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,725,2,Defenders,Defender,DF,4,Brentford,Ji-Soo Kim
144,Adedokun,Valintino,4,2,0.0,40,0,2307,986,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,733,2,Defenders,Defender,DF,4,Brentford,Valintino Adedokun
145,Peart-Harris,Myles,4,3,0.0,45,11,168,104,0.7,0,6,3,0.00,0.00,0.00,0.07,0.0,0.0,0.0,0.57,1.0,0.1,0.7,0,0,0,0,0,0,0,0,0,0,744,3,Midfielders,Midfielder,MF,4,Brentford,Myles Peart-Harris
146,Angelini,Vincent,4,1,0.0,40,0,526,228,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,752,1,Goalkeepers,Goalkeeper,GK,4,Brentford,Vincent Angelini
147,Adingra,Simon,5,3,0.9,50,1139,247762,192596,11.2,6,191,56,2.29,1.42,3.71,18.99,0.18,0.11,0.29,1.5,3.3,0.6,11.2,4,1,0,23,0,0,0,2,0,0,122,3,Midfielders,Midfielder,MF,5,Brighton,Simon Adingra
148,Alzate,Steven,5,3,0.0,44,0,2752,13054,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,123,3,Midfielders,Midfielder,MF,5,Brighton,Steven Alzate
149,Ayari,Yasin,5,3,0.0,45,0,483,4979,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,124,3,Midfielders,Midfielder,MF,5,Brighton,Yasin Ayari
150,Buonanotte,Facundo,5,3,0.0,47,427,4386,6849,3.6,1,47,17,0.54,0.40,0.94,7.65,0.11,0.08,0.19,1.61,1.5,0.4,3.6,1,1,0,6,0,0,0,4,0,0,125,3,Midfielders,Midfielder,MF,5,Brighton,Facundo Buonanotte
151,Connolly,Aaron,5,4,0.0,45,0,0,3791,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,127,4,Forwards,Forward,FW,5,Brighton,Aaron Connolly
152,Dahoud,Mahmoud,5,3,0.1,48,449,8408,18365,2.9,0,68,14,0.22,0.54,0.76,5.16,0.04,0.11,0.15,1.03,1.6,0.0,2.9,0,1,1,6,0,0,0,1,1,0,128,3,Midfielders,Midfielder,MF,5,Brighton,Mahmoud Dahoud
153,Dunk,Lewis,5,2,2.9,50,1416,351569,516289,4.6,1,219,23,2.33,1.54,3.86,26.30,0.15,0.1,0.25,1.67,1.4,0.2,4.6,1,0,0,28,0,0,0,4,1,0,129,2,Defenders,Defender,DF,5,Brighton,Lewis Dunk
154,Enciso,Julio,5,3,0.5,51,68,46591,384731,1.6,0,30,8,0.20,0.58,0.78,2.02,0.26,0.77,1.03,2.67,4.0,0.0,1.6,0,2,0,1,0,0,0,1,0,0,130,3,Midfielders,Midfielder,MF,5,Brighton,Julio Cesar Enciso
155,Estupinan,Pervis,5,2,14.8,49,540,2008806,5641355,6.3,5,135,31,0.93,1.47,2.40,12.57,0.16,0.24,0.4,2.1,4.4,0.2,6.3,2,3,0,12,1,0,0,2,0,0,131,2,Defenders,Defender,DF,5,Brighton,Pervis Estupinan
156,Ferguson,Evan,5,4,6.0,59,934,1262218,1350505,9.5,5,196,56,3.29,0.65,3.94,17.98,0.32,0.06,0.38,1.73,3.3,0.3,9.5,6,1,1,22,0,0,0,1,0,0,132,4,Forwards,Forward,FW,5,Brighton,Evan Ferguson
157,Gilmour,Billy,5,3,0.3,49,1185,83018,67813,8.4,4,225,41,0.69,1.74,2.43,22.80,0.05,0.13,0.18,1.73,2.3,0.3,8.4,0,3,2,23,0,0,0,4,0,0,133,3,Midfielders,Midfielder,MF,5,Brighton,Billy Gilmour
158,Gross,Pascal,5,3,3.6,64,1461,482326,524776,12.3,15,350,79,2.72,3.97,6.69,25.34,0.17,0.24,0.41,1.56,4.6,0.7,12.3,3,6,1,23,0,0,0,3,0,0,134,3,Midfielders,Midfielder,MF,5,Brighton,Pascal Gross
159,Junqueira de Jesus,Joao Pedro,5,4,10.2,54,1048,1361472,2671658,12.8,9,258,69,7.25,2.19,9.44,18.61,0.62,0.19,0.81,1.6,3.6,0.8,12.8,7,2,1,20,0,0,0,2,0,0,135,4,Forwards,Forward,FW,5,Brighton,Joao Pedro
160,Karbownik,Michal,5,2,0.0,40,0,0,2323,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,136,2,Defenders,Defender,DF,5,Brighton,Michal Karbownik
161,Kozlowski,Kacper,5,3,0.0,45,0,0,129,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,137,3,Midfielders,Midfielder,MF,5,Brighton,Kacper Kozlowski
162,Lallana,Adam,5,3,0.0,49,480,4551,8156,3.5,0,52,17,0.10,0.51,0.61,8.16,0.02,0.1,0.12,1.53,1.3,0.3,3.5,0,1,1,8,0,0,0,1,0,0,138,3,Midfielders,Midfielder,MF,5,Brighton,Adam Lallana
163,Lamptey,Tariq,5,2,4.5,39,171,674559,925583,2.3,0,48,9,0.02,0.09,0.11,2.18,0.01,0.05,0.06,1.15,1.8,0.0,2.3,0,2,0,6,0,0,0,2,0,0,139,2,Defenders,Defender,DF,5,Brighton,Tariq Lamptey
164,March,Solly,5,3,2.3,61,555,1021475,1231053,6.4,6,134,39,2.10,0.97,3.07,10.50,0.34,0.16,0.5,1.7,5.6,0.0,6.4,3,1,2,11,0,0,0,1,0,0,140,3,Midfielders,Midfielder,MF,5,Brighton,Solly March
165,McGill,Tom,5,1,0.3,39,0,19275,17972,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,141,1,Goalkeepers,Goalkeeper,GK,5,Brighton,Tom McGill
166,Milner,James,5,3,0.1,48,589,7747,21693,4.4,0,113,21,0.14,1.17,1.31,9.76,0.02,0.18,0.2,1.49,1.8,0.4,4.4,0,2,2,10,0,0,0,3,0,0,142,3,Midfielders,Midfielder,MF,5,Brighton,James Milner
167,Mitoma,Kaoru,5,3,17.5,65,1320,2896582,4936301,9.7,7,211,63,3.20,3.35,6.55,22.83,0.22,0.23,0.45,1.56,3.7,0.3,9.7,3,5,0,25,0,0,0,4,0,0,143,3,Midfielders,Midfielder,MF,5,Brighton,Kaoru Mitoma
168,Moder,Jakub,5,3,0.1,44,47,6806,9766,0.7,0,12,3,0.00,0.03,0.03,1.58,0.0,0.06,0.06,3.03,0.8,0.1,0.7,0,0,0,2,0,0,0,1,0,0,144,3,Midfielders,Midfielder,MF,5,Brighton,Jakub Moder
169,Sarmiento Morante,Jeremy,5,3,0.0,45,0,0,1549,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,146,3,Midfielders,Midfielder,MF,5,Brighton,Jeremy Sarmiento Morante
170,Scherpen,Kjell,5,1,0.0,40,0,0,32,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,147,1,Goalkeepers,Goalkeeper,GK,5,Brighton,Kjell Scherpen
171,Steele,Jason,5,1,2.0,42,900,130856,470455,4.5,0,154,19,0.00,0.00,0.00,14.57,0.0,0.0,0.0,1.46,1.9,0.2,4.5,0,0,0,19,0,0,0,0,0,24,148,1,Goalkeepers,Goalkeeper,GK,5,Brighton,Jason Steele
172,Undav,Deniz,5,4,0.0,55,0,0,4444,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,149,4,Forwards,Forward,FW,5,Brighton,Deniz Undav
173,van Hecke,Jan Paul,5,2,2.0,40,1108,258491,197010,5.2,1,185,21,0.73,0.30,1.03,18.05,0.06,0.02,0.08,1.47,1.5,0.3,5.2,0,0,0,17,0,0,0,2,0,0,150,2,Defenders,Defender,DF,5,Brighton,Jan Paul van Hecke
174,Veltman,Joel,5,2,0.6,43,908,98619,152513,4.7,0,157,20,0.23,0.29,0.52,16.28,0.02,0.03,0.05,1.61,1.2,0.1,4.7,0,1,0,20,0,0,0,1,0,0,151,2,Defenders,Defender,DF,5,Brighton,Joel Veltman
175,Verbruggen,Bart,5,1,0.4,44,810,32848,46667,4.5,2,157,20,0.00,0.00,0.00,15.45,0.0,0.0,0.0,1.72,2.2,0.3,4.5,0,0,0,14,0,0,0,1,0,26,152,1,Goalkeepers,Goalkeeper,GK,5,Brighton,Bart Verbruggen
176,Webster,Adam,5,2,0.1,42,540,16195,34191,1.2,0,89,5,0.32,0.10,0.42,10.37,0.05,0.02,0.07,1.73,0.8,0.0,1.2,0,0,0,13,1,0,0,1,0,0,153,2,Defenders,Defender,DF,5,Brighton,Adam Webster
177,Welbeck,Danny,5,4,0.6,57,531,80047,258416,5.1,4,88,29,1.68,0.43,2.11,8.30,0.28,0.07,0.35,1.41,2.6,0.4,5.1,2,1,3,8,0,0,0,1,0,0,154,4,Forwards,Forward,FW,5,Brighton,Danny Welbeck
178,Zeqiri,Andi,5,4,0.5,44,0,25876,99821,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,155,4,Forwards,Forward,FW,5,Brighton,Andi Zeqiri
179,dos Santos de Paulo,Igor Julio,5,2,0.1,43,702,17644,20363,3.0,1,123,13,0.10,0.18,0.28,11.15,0.01,0.02,0.03,1.43,1.2,0.2,3.0,0,0,0,12,0,0,0,3,0,0,606,2,Defenders,Defender,DF,5,Brighton,Igor Julio dos Santos de Paulo
180,Hinshelwood,Jack,5,3,0.1,45,526,8625,4316,6.0,5,88,27,1.63,0.23,1.86,10.41,0.28,0.04,0.32,1.78,3.4,0.9,6.0,2,0,0,14,0,0,0,1,0,0,621,3,Midfielders,Midfielder,MF,5,Brighton,Jack Hinshelwood
181,Baleba,Carlos,5,3,0.1,45,550,16137,11160,2.9,0,73,13,0.40,0.08,0.47,10.59,0.07,0.01,0.08,1.73,1.1,0.2,2.9,0,0,0,14,0,0,0,3,0,0,690,3,Midfielders,Midfielder,MF,5,Brighton,Carlos Baleba
182,Fati Vieira,Anssumane,5,3,0.4,64,286,177871,162270,3.3,1,55,21,2.73,0.29,3.02,3.83,0.86,0.09,0.95,1.21,2.3,0.0,3.3,2,0,1,6,0,0,0,1,0,0,700,3,Midfielders,Midfielder,MF,5,Brighton,Ansu Fati
183,O'Mahony,Mark,5,4,0.0,45,0,3102,1774,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,741,4,Forwards,Forward,FW,5,Brighton,Mark O'Mahony
184,Baker-Boaitey,Benicio,5,3,0.0,45,12,484,239,0.4,0,6,2,0.00,0.03,0.03,0.11,0.0,0.22,0.22,0.82,1.0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,742,3,Midfielders,Midfielder,MF,5,Brighton,Benicio Boaitey
185,Jackson,Ben,5,2,0.0,40,0,1866,841,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,746,2,Defenders,Defender,DF,5,Brighton,Ben Jackson
186,Duffus,Joshua,5,3,0.0,44,0,248,139,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,747,3,Midfielders,Midfielder,MF,5,Brighton,Joshua Duffus
187,Kavanagh,Leigh,5,2,0.0,40,0,397,222,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,753,2,Defenders,Defender,DF,5,Brighton,Leigh Kavanagh
